fec_candidate_id,name,party,status,state,zip,fec_committee_id,cycle,cand_status,office_state,district,branch,url,crp_id
H8AK00140,"GALVIN, ALYSE",IND,C,AK,99509,C00665711,2018,C,AK,0,H,https://www.alyse4alaska.com/,
H6AK00045,"YOUNG, DONALD E",REP,I,AK,99503,C00012229,2018,C,AK,0,H,http://alaskansfordonyoung.com/,N00007999
H4AL01123,"BYRNE, BRADLEY ROBERTS",REP,I,AL,36532,C00545673,2018,C,AL,1,H,https://www.byrneforcongress.com/,N00035380
H8AL01066,"KENNEDY, ROBERT JR.",DEM,C,AL,36608,C00667949,2018,C,AL,1,H,http://www.kennedy4alabama.org/,
H8AL02197,"ISNER, TABITHA KAY",DEM,C,AL,36106,C00657437,2018,C,AL,2,H,http://tabithaisner.com/,
H0AL02087,"ROBY, MARTHA",REP,I,AL,36106,C00462143,2018,C,AL,2,H,http://martharoby.com/,N00030768
H4AL03053,"CASSON, THOMAS SICK OF D.C.",IND,C,AL,36832,C00668236,2018,N,AL,3,H,http://sickofdc.com/,
H8AL03054,"HAGAN, MALLORY",DEM,C,AL,36801,C00668574,2018,C,AL,3,H,https://www.haganforhouse.com/,
H2AL03032,"ROGERS, MICHAEL",REP,I,AL,36201,C00367862,2018,C,AL,3,H,http://www.mikerogersforcongress.com/,N00024759
H6AL04098,"ADERHOLT, ROBERT B. REP.",REP,I,AL,35565,C00313247,2018,C,AL,4,H,http://aderholtforcongress.org/,N00003028
H8AL04094,"AUMAN, JAMES LEE",DEM,C,AL,35578,C00665182,2018,C,AL,4,H,https://www.aumanforcongress.com/,
H0AL05163,"BROOKS, MO",REP,I,AL,35802,C00464149,2018,C,AL,5,H,http://mobrooksforcongress.com/,N00030910
H8AL05190,"JOFFRION, PETER S.",DEM,C,AL,35801,C00647677,2018,C,AL,5,H,https://www.peterjoffrion.com/,
H8AL06099,"KLINE, DANNER",DEM,C,AL,35243,C00638536,2018,C,AL,6,H,https://www.votedannerkline.com/,
H4AL06098,"PALMER, GARY",REP,I,AL,35209,C00551374,2018,C,AL,6,H,http://palmerforalabama.com/,N00035691
H8AL07089,"RICE, RICHARD BRAND NEW",DEM,C,TN,37902,C00640144,2018,N,AL,7,H,,
H0AL07086,"SEWELL, TERRI A.",DEM,I,AL,35201,C00458976,2018,C,AL,7,H,http://www.sewellforcongress.com/,N00030622
H0AR01083,"CRAWFORD, ERIC ALAN RICK",REP,I,AR,72404,C00462374,2018,C,AR,1,H,http://www.meetrickcrawford.com/,N00030770
H8AR01029,"DESAI, CHINTAN",DEM,C,AR,72342,C00661371,2018,C,AR,1,H,https://www.desaiforcongress.com/,
H8AR01045,"PRESLEY, ELVIS",LIB,C,AR,71667,,2018,N,AR,1,H,,
H4AR02141,"HILL, JAMES FRENCH",REP,I,AR,72217,C00551275,2018,C,AR,2,H,https://www.electfrench.com/,N00035792
H8AR02175,"SWAFFORD, JOE RYNE",LIB,C,AR,72113,,2018,N,AR,2,H,,
H8AR02159,"TUCKER, EVERETT CLARKE IV",DEM,C,AR,72217,C00671156,2018,C,AR,2,H,http://www.clarketucker.com/,
H8AR03090,"KALAGIAS, MICHAEL J",LIB,C,AR,72756,,2018,N,AR,3,H,https://mkin2012.blogspot.com/,
H8AR03074,"MAHONY, JOSH",DEM,C,AR,72702,C00650093,2018,C,AR,3,H,https://mahonyforcongress.com/,
H8AR03082,"MOODY, JOSH",IND,C,AR,72704,,2018,N,AR,3,H,,
H8AR03108,"TATE, JASON",OTH,C,AR,72703,,2018,N,AR,3,H,,
H0AR03055,"Womack, Steve",REP,I,AR,72756,C00477745,2018,C,AR,3,H,http://womackforcongress.com/,N00031857
H8AR04171,"CANADA, TOM",LIB,C,AR,72963,,2018,N,AR,4,H,,
H8AR04163,"FOSTER, JACK E",IND,C,AR,71603,,2018,N,AR,4,H,,
H8AR04155,"MARTIN, SUSANANN",W,C,AR,71646,C00671529,2018,N,AR,4,H,,
H8AR04122,"MCQUEEN, LEE",IND,C,AR,71854,C00658898,2018,N,AR,4,H,https://mcqueen2018.com/,
H8AR04130,"SHAMEL, HAYDEN CATHERINE",DEM,C,AR,71913,C00659235,2018,C,AR,4,H,https://www.haydenforcongress.com/,
H4AR04048,"WESTERMAN, BRUCE",REP,I,AR,71901,C00548180,2018,C,AR,4,H,https://www.brucewesterman.com/,N00035527
H4AS00036,"AMATA, AUMUA",REP,I,AS,96799,C00393041,2018,C,AS,0,H,,N00007635
S8AZ00221,"MCSALLY, MARTHA",REP,O,AZ,85016,C00666040,2018,C,AZ,0,S,https://mcsallyforsenate.com/,
S8AZ00197,"SINEMA, KYRSTEN",DEM,O,AZ,85011,C00508804,2018,C,AZ,0,S,https://kyrstensinema.com/,
H6AZ01199,"O'HALLERAN, TOM",DEM,I,AZ,86351,C00582890,2018,C,AZ,1,H,http://www.tomohalleran.com/,N00037515
H2AZ09035,"ROGERS, WENDY",REP,C,AZ,86001,C00510958,2018,C,AZ,1,H,http://wendyrogers.org/,
H8AZ02151,"KIRKPATRICK, ANN",DEM,O,AZ,85702,C00651042,2018,C,AZ,2,H,https://www.kirkpatrickforcongress.com/,
H8AZ02185,"Marquez Peterson, Lea",REP,O,AZ,85717,C00663054,2018,C,AZ,2,H,http://www.voteforlea.com/,
H2AZ07070,"GRIJALVA, RAUL M",DEM,I,AZ,85702,C00374058,2018,C,AZ,3,H,http://www.standwithraul.com/,N00025284
H8AZ03159,"PIERSON, JOE NICOLAS",REP,C,AZ,85749,C00666107,2018,C,AZ,3,H,https://www.piersonforcongress.com/,
H8AZ04157,"ANDRESKI, THADDEUS J MR. II",W,C,AZ,85396,C00667535,2018,N,AZ,4,H,http://azcd4-thad.webstarts.com/,
H8AZ04140,"BRILL, DAVID H",DEM,C,AZ,86303,C00664342,2018,C,AZ,4,H,https://www.brillforcongress.com/,
H8AZ04165,"DISANTO, DELINA",DEM,C,AZ,85327,C00672154,2018,C,AZ,4,H,https://www.delinadisantoforcongress.com/,
H0AZ01259,"GOSAR, PAUL DR.",REP,I,AZ,86302,C00461806,2018,C,AZ,4,H,http://drpaulgosar.com/,N00030771
H8AZ04173,"KNAUER, HARYAKSHA GREGOR",GRE,C,AZ,86323,,2018,N,AZ,4,H,,
H6AZ05083,"BIGGS, ANDY MR.",UNK,I,AZ,85234,C00610451,2018,C,AZ,5,H,https://biggsforcongress.com/,N00039293
H8AZ05154,"GREENE, JOAN",DEM,C,AZ,85044,C00640938,2018,C,AZ,5,H,https://joangreeneaz.com/,
H8AZ06103,"MALIK, ANITA",DEM,C,AZ,85254,C00655134,2018,C,AZ,6,H,https://anitaforarizona.com/,
H8AZ06095,"ROSS, HEATHER MAURA",DEM,C,AZ,85253,C00651752,2018,C,AZ,6,H,https://www.heatherforaz.com/welcome,
H4AZ06045,"SCHWEIKERT, DAVID",REP,I,AZ,85268,C00540617,2018,C,AZ,6,H,https://davidschweikert.com/,N00006460
H4AZ07043,"GALLEGO, RUBEN",DEM,I,AZ,85001,C00558627,2018,C,AZ,7,H,https://gallegoforarizona.com/,N00036097
H8AZ08158,"Lesko, Debbie",REP,I,AZ,85064,C00663914,2018,C,AZ,8,H,http://www.debbieleskoforcongress.com/,
H8AZ08083,"TIPIRNENI, HIRAL",DEM,O,AZ,85042,C00649897,2018,C,AZ,8,H,http://hiralforcongress.com/,
H8AZ09024,"FERRARA, STEVE MD",REP,O,AZ,85060,C00640268,2018,C,AZ,9,H,https://ferraraforcongress.com/,
H8AZ09040,"STANTON, GREG",DEM,O,AZ,85018,C00657304,2018,C,AZ,9,H,http://stantonforarizona.com/,
S8CA00515,"BRADLEY, JAMES PATRICK MR",REP,C,CA,92677,C00674085,2018,N,CA,0,S,,
S8CA00408,"DE LEON, KEVIN",DEM,C,CA,90807,C00658773,2018,C,CA,0,S,https://www.kevindeleon.com/,
S0CA00199,"FEINSTEIN, DIANNE",DEM,I,CA,90078,C00539890,2018,C,CA,0,S,https://feinsteinforca.com/,
H8CA01257,"DENNEY, AUDREY",DEM,C,CA,95927,C00664409,2018,C,CA,1,H,https://www.audreyforcongress.com/,
H2CA02142,"LAMALFA, DOUG",REP,I,CA,95917,C00509422,2018,C,CA,1,H,http://www.douglamalfa.com/,N00033987
H2CA06259,"HUFFMAN, JARED",DEM,I,CA,94915,C00536680,2018,C,CA,2,H,http://jaredhuffman.com/,N00033030
H4CA02098,"MENSING, DALE KENNETH",REP,C,CA,95560,C00543553,2018,N,CA,2,H,,
H0CA10149,"GARAMENDI, JOHN",DEM,I,CA,95690,C00462697,2018,C,CA,3,H,http://www.garamendi.org/,N00030856
H6CA03067,"SCHAUPP, CHARLES EUGENE",REP,C,CA,95627,C00673129,2018,C,CA,3,H,,
H8CA04152,"MCCLINTOCK, THOMAS",REP,I,CA,95677,C00446815,2018,C,CA,4,H,http://tommcclintock.com/,N00006863
H8CA04210,"Morse, Jessica",DEM,C,CA,95661,C00650408,2018,C,CA,4,H,https://www.morse4congress.com/,
H8CA05209,"MILLS, ANTHONY",NOP,C,CA,94589,,2018,N,CA,5,H,,
H6CA05344,"PALSSON, NILS IAN",NOP,C,CA,95401,C00612069,2018,N,CA,5,H,,
H8CA01109,"THOMPSON, MIKE MR.",DEM,I,CA,94581,C00326363,2018,C,CA,5,H,http://www.mikethompsonforcongress.com/,N00007419
H6CA06219,"JEFFERSON, DELMA",DEM,C,CA,95757,,2018,N,CA,6,H,,
H6CA05195,"MATSUI, DORIS",DEM,I,CA,95812,C00409219,2018,C,CA,6,H,http://www.matsuiforcongress.com/,N00027459
H0CA03078,"BERA, AMERISH",DEM,I,CA,95758,C00461061,2018,C,CA,7,H,http://www.beraforcongress.com/,N00030717
H8CA07056,"GRANT, ANDREW",REP,C,CA,95630,C00649400,2018,C,CA,7,H,https://www.andrewgrantforcongress.com/,
H2CA08164,"COOK, PAUL",REP,I,CA,92284,C00512202,2018,C,CA,8,H,http://joinpaulcook.com/,N00034224
H8CA08120,"DONNELLY, TIMOTHY M.",REP,C,CA,92391,C00658021,2018,C,CA,8,H,https://www.donnelly4congress.com/,
H8CA08112,"DOYLE, MARGE",DEM,C,CA,92252,C00657122,2018,C,CA,8,H,https://margedoyleforcongress.com/,
H8CA10209,"HOWZE, TED D II",REP,C,CA,95219,C00681544,2018,N,CA,9,H,,
H8CA09144,"LIVENGOOD, MARLA",REP,C,CA,95242,C00660852,2018,C,CA,9,H,http://www.marlalivengood.com/,
H4CA11081,"MCNERNEY, GERALD MARK",DEM,I,CA,95269,C00398644,2018,C,CA,9,H,http://jerrymcnerney.org/,N00026926
H0CA19173,"DENHAM, JEFF",REP,I,CA,95353,C00473272,2018,C,CA,10,H,https://jeffdenham.com/,N00031593
H8CA10126,"Harder, Josh",DEM,C,CA,95352,C00639146,2018,C,CA,10,H,https://www.harderforcongress.com/,
H0CA10073,"DESAULNIER, MARK",DEM,I,CA,94524,C00554709,2018,C,CA,11,H,http://desaulnierforcongress.com/,N00030709
H0CA07111,"FITZGERALD, JOHN",REP,C,CA,94518,C00516591,2018,N,CA,11,H,,
H8CA12262,"BUTTAR, SHAHID",DEM,C,CA,94127,C00670463,2018,C,CA,12,H,https://www.shahidforchange.us/,
H8CA12239,"JAFFE, STEPHEN R",DEM,C,CA,94111,C00638775,2018,C,CA,12,H,https://jaffe4congress.com/,
H8CA05035,"PELOSI, NANCY",DEM,I,CA,94105,C00213512,2018,C,CA,12,H,https://www.pelosiforcongress.org/,N00007360
H8CA12270,"REMMER, LISA",REP,C,CA,94117,C00672980,2018,C,CA,12,H,,
H8CA09060,"LEE, BARBARA",DEM,I,CA,94621,C00331769,2018,C,CA,13,H,http://barbaraleeforcongress.org/,N00008046
H8CA14185,"OSMENA, CRISTINA",REP,C,CA,94010,,2018,N,CA,14,H,,
H8CA12171,"SPEIER, JACKIE",DEM,I,CA,94001,C00443705,2018,C,CA,14,H,http://www.jackiespeier.org/,N00029649
H8CA15117,"PETERS, RUDY PETERS",REP,C,CA,94550,C00671370,2018,C,CA,15,H,https://www.rudypetersforcongress.com/,
H2CA15094,"SWALWELL, ERIC MICHAEL",DEM,I,CA,94568,C00502294,2018,C,CA,15,H,https://www.swalwellforcongress.com/,N00033508
H4CA20082,"COSTA, JIM",DEM,I,CA,93711,C00391029,2018,C,CA,16,H,http://www.jimcosta.com/,N00026341
H8CA16065,"HENG, ELIZABETH",REP,C,CA,93755,C00670257,2018,C,CA,16,H,http://elizabethheng.com/,
H6CA17141,"COHEN, RONALD H",REP,C,CA,94538,C00591784,2018,N,CA,17,H,https://www.roncohen4congress2018.com/,N00038408
H4CA12055,"KHANNA, ROHIT",DEM,I,CA,94539,C00503185,2018,C,CA,17,H,http://www.rokhanna.com/,N00026427
H8CA12098,"ESHOO, ANNA G",DEM,I,CA,94301,C00258475,2018,C,CA,18,H,http://annaeshoo4congress.com/,N00007335
H8CA18087,"RUSSELL, CHRISTINE",REP,C,CA,95032,,2018,N,CA,18,H,,
H8CA19051,"AGUILERA, JUSTIN",REP,C,CA,95046,C00683532,2018,N,CA,19,H,,
H4CA16049,"LOFGREN, ZOE",DEM,I,CA,95003,C00289603,2018,C,CA,19,H,http://lofgrenforcongress.com,N00007479
H0CA17185,"KABAT, RONALD P.",NOP,C,CA,93924,C00522367,2018,N,CA,20,H,,
H6CA20152,"PANETTA, JIMMY",DEM,I,CA,93924,C00592154,2018,C,CA,20,H,https://jimmypanetta.com/,N00038601
H8CA10167,"COX, TERRANCE JOHN (TJ)",DEM,C,CA,93662,C00648956,2018,C,CA,21,H,https://tjcoxforcongress.com/,
H2CA20094,"VALADAO, DAVID",REP,I,CA,93232,C00499392,2018,C,CA,21,H,https://www.valadaoforcongress.com/,N00033367
H8CA22139,"JANZ, ANDREW",DEM,C,CA,91436,C00638510,2018,C,CA,22,H,https://www.andrewjanzforcongress.com/,
H8CA20059,"NUNES, DEVIN GERALD",REP,I,CA,93290,C00370056,2018,C,CA,22,H,https://www.devinnunes.com/,N00007248
H8CA23103,"MATTA, TATIANA",DEM,C,CA,93560,C00653592,2018,C,CA,23,H,http://tatianamatta.com/,
H6CA22125,"MCCARTHY, KEVIN",REP,I,CA,93314,C00420935,2018,C,CA,23,H,https://www.mccarthyforcongress.com/,N00028152
H6CA23206,"REED, WENDY",DEM,C,CA,93560,C00592220,2018,C,CA,23,H,https://wendyreedforcongress.com/,N00038410
H6CA24303,"CARBAJAL, SALUD",DEM,I,CA,93102,C00576041,2018,C,CA,24,H,https://saludcarbajal.com/,N00037015
H4CA24142,"FAREED, JUSTIN",REP,C,CA,93150,C00572560,2018,C,CA,24,H,https://www.justinfareed.com/,N00035705
H8CA25074,"Hill, Katherine Lauren",DEM,C,CA,91390,C00634212,2018,C,CA,25,H,https://www.katiehillforcongress.com/,
H4CA25123,"KNIGHT, STEVE",REP,I,CA,91380,C00554014,2018,C,CA,25,H,http://steveknight.org/,N00035820
H2CA00120,"BROWNLEY, JULIA",DEM,I,CA,91361,C00513077,2018,C,CA,26,H,http://juliabrownley.com/,N00034254
H8CA26114,"SABATO, ANTONIO",REP,C,CA,91362,C00639690,2018,C,CA,26,H,http://www.voteantonio.com/,
H0CA32101,"CHU, JUDY",DEM,I,CA,90025,C00458125,2018,C,CA,27,H,http://judychu.org/,N00030600
H8CA27112,"WITT, BRYAN",DEM,C,CA,91101,C00654335,2018,C,CA,27,H,http://wittforprogress.com/,
H8CA28185,"NALBANDIAN, JOHNNY",REP,C,CA,91204,C00651547,2018,C,CA,28,H,http://votejohnny.us/,
H0CA27085,"SCHIFF, ADAM",DEM,I,CA,91502,C00343871,2018,C,CA,28,H,https://adamschiff.com/,N00009585
H6CA29203,"BERNAL, BENITO BENNY",REP,C,CA,91346,C00673772,2018,N,CA,29,H,,
H6CA30185,"REED, MARK",REP,C,CA,91040,,2018,N,CA,30,H,,
H6CA24113,"SHERMAN, BRAD",DEM,I,CA,91403,C00308742,2018,C,CA,30,H,http://bradsherman.com/,N00006897
H2CA31125,"AGUILAR, PETE",DEM,I,CA,92423,C00510461,2018,C,CA,31,H,http://www.peteaguilar.com/,N00033997
H6CA31134,"FLYNN, SEAN",REP,C,CA,91730,C00602722,2018,C,CA,31,H,https://seanflynnforcongress.com/,N00038609
H8CA34068,"NAPOLITANO, GRACE",DEM,I,CA,91734,C00334706,2018,C,CA,32,H,http://napolitanoforcongress.com/,N00006789
H8CA32088,"SCOTT, JOSHUA",REP,C,CA,90802,C00682179,2018,N,CA,32,H,,
H4CA33119,"LIEU, TED",DEM,I,CA,90505,C00556506,2018,C,CA,33,H,http://www.tedlieu.com/,N00035825
H6CA33106,"WRIGHT, KENNETH",REP,C,CA,90048,C00608430,2018,C,CA,33,H,http://drwright4congress.com/,N00039080
H8CA34266,"GOMEZ, JIMMY",DEM,I,CA,90065,C00629659,2018,C,CA,34,H,https://jimmygomezforcongress.com/,
H6CA34237,"MEJIA, KENNETH",GRE,C,CA,90029,C00616045,2018,C,CA,34,H,https://www.mejia4congress.com/,
H4CA35031,"TORRES, NORMA",DEM,I,CA,91768,C00557652,2018,C,CA,35,H,http://www.normatorres.com/,N00036107
H8CA35115,"VALIENTE, CHRISTIAN",REP,C,CA,91786,C00659243,2018,N,CA,35,H,https://www.votevaliente.com/,
H8CA36170,"PELZER, KIMBERLIN BROWN",REP,C,CA,92264,C00657676,2018,C,CA,36,H,https://www.kimberlinforcongress.com/,
H2CA36439,"RUIZ, RAUL DR",DEM,I,CA,92211,C00502575,2018,C,CA,36,H,http://drraulruiz.com/,N00033510
H8CA37293,"BASSILIAN, RON",REP,C,CA,90066,C00652222,2018,N,CA,37,H,http://ronfor37.org/,
H0CA33117,"BASS, KAREN",DEM,I,CA,92201,C00476523,2018,C,CA,37,H,http://www.karenbass.com/,N00031877
H4CA31105,"DOWNING, RYAN",REP,C,CA,90606,,2018,N,CA,38,H,,
H2CA39078,"SANCHEZ, LINDA",DEM,I,CA,90652,C00384057,2018,C,CA,38,H,https://voteforlinda.com/,N00024870
H8CA39174,"CISNEROS, GILBERT",DEM,O,CA,90024,C00650648,2018,C,CA,39,H,cisnerosforcongress.com/,
H8CA39240,"KIM, YOUNG",REP,O,CA,92837,,2018,C,CA,39,H,https://www.kimforcongress2018.com/,
H8CA40214,"BARRAGAN, RODOLFO CORTES",GRE,C,CA,90723,C00664185,2018,N,CA,40,H,https://www.rodolfoforcongress.com/,
H2CA33048,"ROYBAL-ALLARD, LUCILLE",DEM,I,CA,90241,C00259143,2018,C,CA,40,H,http://www.lucilleforcongress.org/,N00006671
H8CA41170,"SMITH, AJA",REP,C,CA,92501,C00635854,2018,C,CA,41,H,https://www.ajaforcongress.com/,
H2CA43245,"TAKANO, MARK",DEM,I,CA,92517,C00498667,2018,C,CA,41,H,https://marktakano.com/,N00006701
H2CA37023,"CALVERT, KENNETH S",REP,I,CA,92877,C00257337,2018,C,CA,42,H,https://www.calvertforcongress.com/,N00007099
H8CA42228,"PEACOCK, JULIA",DEM,C,CA,92883,C00634014,2018,C,CA,42,H,http://peacockforcongress.com/,
H6CA44145,"NAVARRO, OMAR",REP,C,CA,90501,C00592048,2018,C,CA,43,H,omarnavarro.com/,N00037584
H4CA23011,"WATERS, MAXINE",DEM,I,CA,90250,C00167585,2018,C,CA,43,H,maxinewatersforcongress.com,N00006690
H6CA44103,"BARRAGAN, NANETTE",DEM,I,CA,90731,C00577353,2018,C,CA,44,H,http://barraganforcongress.com/,N00037019
H8CA44117,"BROWN, AJA",DEM,C,CA,90221,C00672436,2018,C,CA,44,H,,
H8CA44125,"SAAVEDRA, JAZMINA",REP,C,CA,90201,,2018,N,CA,44,H,http://www.voteforjaz.com/,
H8CA45130,"PORTER, KATHERINE",DEM,C,CA,90017,C00636571,2018,C,CA,45,H,http://katieporter.com/,
H4CA45097,"WALTERS, MIMI",REP,I,CA,92618,C00546853,2018,C,CA,45,H,https://www.mimiwalters.com/,N00035391
H6CA46116,"CORREA, JOSE",DEM,I,CA,92815,C00578302,2018,C,CA,46,H,http://www.loucorrea.com/,N00037260
H8CA46120,"LAMBERT, RUSSELL RENE",REP,C,CA,92804,C00667972,2018,N,CA,46,H,https://russlambertforcongress.com/,
H8CA47078,"BRISCOE, JOHN",REP,C,CA,92647,C00671784,2018,C,CA,47,H,https://johnbriscoe.us/,
H2CA00104,"LOWENTHAL, ALAN",DEM,I,CA,90809,C00498212,2018,C,CA,47,H,http://alanlowenthal.com/,N00033274
H8CA42061,"ROHRABACHER, DANA",REP,I,CA,92658,C00224691,2018,C,CA,48,H,http://www.rohrabacher.com/,N00007151
H8CA48035,"Rouda, Harley E Jr",DEM,C,CA,92660,C00633982,2018,C,CA,48,H,https://www.harleyforcongress.com/,
H8CA49082,"HARKEY, DIANE",REP,O,CA,92058,C00665513,2018,C,CA,49,H,https://www.harkeyforcongress.com/,
H8CA49074,"JACOBS, SARA",DEM,O,CA,92011,C00660837,2018,C,CA,49,H,https://sarajacobsforca.com/,
H8CA49058,"LEVIN, MIKE",DEM,O,CA,90807,C00634253,2018,C,CA,49,H,https://mikelevin.org/,
H8CA50098,"CAMPA-NAJJAR, AMMAR",DEM,C,CA,91935,C00635888,2018,C,CA,50,H,https://www.campacampaign.com/,
H8CA52052,"HUNTER, DUNCAN D",REP,I,CA,92022,C00433524,2018,C,CA,50,H,https://hunterforcongress.com/,N00029258
H8CA51062,"HIDALGO, JUAN",REP,C,CA,92127,C00672451,2018,C,CA,51,H,http://hidalgoforcongress.com/,
H8CA51054,"RENISON, JOHN",REP,C,CA,92118,C00667378,2018,C,CA,51,H,https://www.johnrenison.com/,
H2CA50026,"VARGAS, JUAN CARLOS",DEM,I,CA,91911,C00497321,2018,C,CA,51,H,https://votevargas.com/,N00007021
H2CA52089,"PETERS, SCOTT",DEM,I,CA,92122,C00503110,2018,C,CA,52,H,http://www.scottpeters.com/,N00033591
H8CA52102,"QUDRAT, OMAR",REP,C,CA,91932,C00647875,2018,C,CA,52,H,https://www.electomar.com/,
H0CA49055,"DAVIS, SUSAN A",DEM,I,CA,92138,C00344671,2018,C,CA,53,H,http://www.susandavisforcongress.com/,N00009604
H8CA53084,"MURTAUGH, MORGAN",REP,C,CA,91942,C00672824,2018,C,CA,53,H,http://morganmurtaugh.com/,
H6CO01141,"DEGETTE, DIANA L.",DEM,I,CO,80220,C00311639,2018,C,CO,1,H,https://degette.com/,N00006134
H8CO01147,"DOANE, RAYMON ANTHONY",LIB,C,CO,80249,C00664839,2018,N,CO,1,H,,
H8CO01162,"STOCKHAM, CHARLES (CASPER) WESLEY",REP,C,CO,80016,C00665588,2018,C,CO,1,H,http://www.casperforcolorado.com/,
H8CO02269,"BARRIS, ROGER",LIB,O,CO,80439,C00680306,2018,C,CO,2,H,http://www.barris4congress.com/,
H8CO02160,"NEGUSE, JOSEPH",DEM,O,CO,80306,C00648253,2018,C,CO,2,H,https://www.joeneguseforcongress.com/,
H8CO02236,"THOMAS, NICK",NPA,O,CO,80305,,2018,N,CO,2,H,https://www.nickthomasforcongress.com/,
H8CO02251,"YU, PETER",REP,O,CO,80021,C00661678,2018,C,CO,2,H,https://www.peteryuforcongress.com/,
H2CO03153,"KENT, GAYLON",LIB,C,CO,80487,C00511071,2018,N,CO,3,H,http://thefreedomtrain.com/,
H8CO03226,"MALARSIE, MARY",IND,C,CO,81301,C00665372,2018,C,CO,3,H,http://www.marymindependent.com/,
H8CO03192,"Mitsch Bush, Diane",DEM,C,CO,80477,C00649459,2018,C,CO,3,H,https://dianeforcolorado.com/,
H6CO03139,"Tipton, Scott R.",REP,I,CO,81321,C00470757,2018,C,CO,3,H,https://www.votetipton.com/,N00027509
H4CO04090,"BUCK, KENNETH R",REP,I,CO,80633,C00573378,2018,C,CO,4,H,buckforcolorado.com,N00030829
H8CO04091,"MCCORMICK, KAREN A DVM",DEM,C,CO,80503,C00648006,2018,C,CO,4,H,mccormickforcongress.org/,
H8CO04109,"WEIL, RICHARD LYONS",DEM,C,CO,80524,C00653642,2018,N,CO,4,H,https://www.weilforcongress.com/,
H8CO05163,"FURSTENBERG, LORI",DEM,C,CO,80904,C00667188,2018,N,CO,5,H,,
H6CO05159,"LAMBORN, DOUGLAS",REP,I,CO,80962,C00420745,2018,C,CO,5,H,lambornforcongress.org,N00028133
H8CO05130,"SPAULDING, STEPHANY ROSE",DEM,C,CO,80903,C00649038,2018,C,CO,5,H,stephanyroseforcongress.com/,
H8CO06286,"CHAPIN, DAN R",UN,C,CO,80014,C00563478,2018,N,CO,6,H,,
H8CO06138,"COFFMAN, MIKE REP.",REP,I,CO,80111,C00629287,2018,C,CO,6,H,coffmanforcongress.com,N00024753
H8CO06229,"CROW, JASON",DEM,C,CO,80041,C00637363,2018,C,CO,6,H,jasoncrowforcongress.com/,
H8CO07094,"BARRINGTON, MARK",REP,C,CO,80226,C00670505,2018,C,CO,7,H,https://barringtonforcolorado.com/,
H6CO07023,"PERLMUTTER, EDWIN G",DEM,I,CO,80033,C00410639,2018,C,CO,7,H,perlmutterforcolorado.com,N00027510
H8CO07110,"ZORN, STEVE",DEM,C,CO,80221,,2018,N,CO,7,H,,
S8CT00121,"COREY, MATTHEW MCKINNON",REP,C,CT,6040,C00654392,2018,C,CT,0,S,http://www.coreyforsenate.com/,
S2CT00132,"MURPHY, CHRISTOPHER S MR",DEM,I,CT,6410,C00492645,2018,C,CT,0,S,https://chrismurphy.com/,
H8CT01046,"LARSON, JOHN B",DEM,I,CT,6108,C00330142,2018,C,CT,1,H,http://larsonforcongress.org/,N00000575
H8CT01145,"NYE, JENNIFER T.",REP,C,CT,6042,,2018,N,CT,1,H,https://www.nye4congress.com/,
H2CT02112,"COURTNEY, JOSEPH D",DEM,I,CT,6066,C00410233,2018,C,CT,2,H,http://www.joecourtney.com/,N00024842
H8CT02101,"POSTEMSKI, DANNY FRANK MR JR",REP,C,CT,6247,C00676098,2018,N,CT,2,H,,
H8CT02085,"REALE, DANIEL J",LIB,C,CT,6374,C00528810,2018,N,CT,2,H,,
H6CT03145,"CADENA JR, ANGEL LUIS",REP,C,CT,6484,C00617431,2018,N,CT,3,H,http://www.angelforcongress.org/,
H0CT03072,"DELAURO, ROSA L",DEM,I,CT,6510,C00238865,2018,C,CT,3,H,http://www.rosadelauro.com/,N00000615
H8CT04214,"ARORA, HARRY",REP,C,CT,6836,C00664151,2018,C,CT,4,H,https://www.harryforct.com/,
H8CT04172,"HIMES, JIM",DEM,I,CT,6824,C00434191,2018,C,CT,4,H,https://www.himesforcongress.com/,N00029070
H8CT05245,"HAYES, JAHANA",DEM,O,CT,6721,C00677898,2018,C,CT,5,H,https://www.jahanahayes.com/,
H0CT05127,"PISTONE, JOHN",REP,O,CT,6804,C00462663,2018,N,CT,5,H,http://www.johnpistoneforcongress.org/,N00030781
H8CT05187,"SANTOS, MANNY",REP,O,CT,6450,C00673467,2018,C,CT,5,H,https://www.santosforcongress.com/,
H8DC01034,"FORD, KIM R.",DEM,C,DC,20003,C00659839,2018,C,DC,0,H,kimrford4congress.com/,
H0DC00058,"NORTON, ELEANOR HOLMES",DEM,I,DC,20003,C00244335,2018,C,DC,0,H,nortonforcongress.org,N00001692
H6CA07043,"Miller, George",DEM,C,DC,20515,C00026757,2018,P,DC,7,H,,
H2CA28113,"Cardenas, Tony",DEM,I,DC,20003,C00498873,2018,C,DC,29,H,http://www.tonycardenasforcongress.com/,N00033373
S8DE00145,"ARLETT, ROB",REP,C,DE,19939,C00676932,2018,C,DE,0,S,https://robarlett.com/,
H6DE00206,"BLUNT ROCHESTER, LISA",DEM,I,DE,19809,C00590778,2018,C,DE,0,H,https://lisabluntrochester.com/,N00038414
S8DE00103,"BOYCE, HENRY CHARLES ""CHUCK"" JR",REP,C,DE,19709,C00633693,2018,C,DE,0,S,,
